ID,Date,Element,Data_Value
SPE00120512,2013-07-16,TMIN,194
SPE00120512,2012-02-07,TMAX,205
SPE00120512,2007-02-24,TMAX,206
SPE00120512,2012-02-07,TMIN,39
SPE00120512,2008-08-05,TMIN,241
SPE00120512,2006-01-14,TMAX,145
SPE00120512,2014-07-16,TMIN,220
SPE00120512,2005-03-31,TMIN,145
SPE00120512,2009-02-15,TMIN,67
SPE00120512,2014-01-17,TMAX,118
SPE00120512,2007-04-22,TMAX,245
SPE00120512,2007-04-22,TMIN,145
SPE00120512,2014-04-09,TMAX,296
SPE00120512,2008-02-14,TMIN,103
SPE00120512,2006-08-03,TMIN,216
SPE00120512,2005-03-31,TMAX,305
SPE00120512,2014-04-09,TMIN,140
SPE00120512,2012-11-24,TMAX,192
SPE00120512,2005-05-12,TMIN,160
SPE00120512,2009-05-05,TMAX,318
SPE00120512,2013-01-30,TMIN,43
SPE00120512,2009-01-21,TMIN,17
SPE00120512,2010-06-02,TMIN,222
SPE00120512,2015-11-05,TMAX,231
SPE00120512,2008-03-20,TMAX,179
SPE00120512,2006-02-14,TMIN,96
SPE00120512,2006-10-12,TMIN,168
SPE00120512,2011-11-30,TMAX,186
SPE00120512,2011-01-01,TMAX,186
SPE00120512,2009-02-15,TMAX,192
SPE00120512,2014-01-17,TMIN,67
SPE00120512,2011-02-08,TMIN,74
SPE00120512,2011-11-30,TMIN,70
SPE00120512,2009-01-21,TMAX,161
SPE00120512,2015-06-30,TMIN,206
SPE00120512,2013-04-23,TMIN,141
SPE00120512,2006-11-01,TMAX,270
SPE00120512,2013-04-23,TMAX,251
SPE00120512,2008-10-08,TMAX,254
SPE00120512,2006-11-01,TMIN,160
SPE00120512,2011-10-24,TMIN,157
SPE00120512,2013-08-02,TMAX,379
SPE00120512,2007-02-24,TMIN,85
SPE00120512,2009-03-18,TMAX,227
SPE00120512,2007-11-13,TMIN,75
SPE00120512,2012-10-27,TMIN,150
SPE00120512,2007-11-13,TMAX,225
SPE00120512,2011-06-14,TMIN,200
SPE00120512,2008-11-01,TMAX,158
SPE00120512,2015-05-30,TMIN,198
SPE00120512,2015-05-30,TMAX,313
SPE00120512,2007-07-24,TMAX,351
SPE00120512,2013-03-06,TMAX,186
SPE00120512,2011-10-27,TMIN,155
SPE00120512,2013-03-06,TMIN,140
SPE00120512,2011-11-28,TMAX,183
SPE00120512,2013-06-03,TMIN,143
SPE00120512,2015-12-18,TMAX,208
SPE00120512,2012-04-28,TMIN,102
SPE00120512,2006-10-23,TMIN,184
SPE00120512,2009-11-28,TMAX,190
SPE00120512,2009-01-31,TMAX,162
SPE00120512,2011-01-28,TMIN,88
SPE00120512,2009-08-05,TMAX,363
SPE00120512,2013-07-20,TMIN,212
